Company Name,Website,Industry,City,Country,Employees,Annual Revenue,Year Founded,Owner,Title,Email,Phone,LinkedIn,Source List
Okonkwo Pest,https://www.okonkwopest.com,Pest Control,Austin,United States,8,0.90 million,2021,Patricia Okonkwo,President,info@okonkwopest.com,+13945489442,,directory_q3
Harbor Metal Co.,www.harbormetal.com,Metal Fabrication,Phoenix,United States,18 employees,2546910,,Patricia Halloran,Founder,phalloran@harbormetal.com,+15537937694,linkedin.com/company/harbormetal,chamber_export
Ngo & Halloran Ltd,www.ngohalloran.com,Accounting Services,Phoenix,United States,26 employees,$5.9M,2004,,Office Manager,info@ngohalloran.com,(513) 950-5160,linkedin.com/company/ngohalloran,trade_assoc
FERRARO & BHATTI LTD,,Third Party Logistics,Phoenix,United States,,"$2,310,888",1991,David Ferraro,Operations Manager,,+14037204363,,chamber_export
Cardinal Digital Inc.,cardinaldigital.com,Digital Marketing Agency,Toronto,Canada,31 employees,4351966,2021,Thomas Marchetti,Operations Manager,tmarchetti@cardinaldigital.com,+12017296469,,trade_assoc
Nakamura Pest Inc.,nakamurapest.com,Pest Control,Toronto,Canada,13-23,3672864,2009,Gloria Nakamura,VP Operations,gnakamura@nakamurapest.com,(526) 437-4470,,trade_assoc
Ngo & Bhatti Co.,https://www.ngobhatti.com,Metal Fabrication,Sacramento,United States,13-23,"3,922,074",2004,Donna Ngo,Managing Director,info@ngobhatti.com,(737) 891-3696,linkedin.com/company/ngobhatti,chamber_export
Vasquez Landscaping Inc.,vasquezlandscaping.com,Landscaping,Nashville,United States,26,$4.2M,1984,Robert Vasquez,VP Operations,info@vasquezlandscaping.com,+15841815727,linkedin.com/company/vasquezlandscaping,trade_assoc
Austin Commercial Company Inc,https://www.austincommercial.com,Commercial Janitorial,Austin,United States,31,"$7,208,647",2001,Maria Delgado,Office Manager,maria@austincommercial.com,+18671357983,,chamber_export
Pruitt & Pruitt LLC,http://pruittpruitt.com,Staffing & Recruiting,Nashville,United States,60 employees,5678160,2021,Carol Pruitt,VP Operations,cpruitt@pruittpruitt.com,+18029639655,,trade_assoc
Ivers & Ashworth Inc.,www.iversashworth.com,Auto Repair,Denver,United States,190,,1996,Walter Ivers,Founder,wivers@iversashworth.com,,,directory_q3
Nakamura & Barrett Co.,nakamurabarrett.com,Waste Management,Phoenix,United States,45,7886610,2021,Gloria Nakamura,,info@nakamurabarrett.com,(227) 667-2142,linkedin.com/company/nakamurabarrett,directory_q3
Stanek & Castellanos Inc,http://stanekcastellanos.com,Third Party Logistics,Milwaukee,United States,17-27,2824206,2021,,VP Operations,sstanek@stanekcastellanos.com,+18774069928,,chamber_export
Toussaint Veterinary,https://www.toussaintveterinary.com,Veterinary Services,Tucson,United States,40-50,"$10,477,530",,Miguel Ivers,Founder,mivers@toussaintveterinary.com,+12757070838,linkedin.com/company/toussaintveterinary,trade_assoc
Tampa Event Works Inc.,www.tampaevent.com,Event Planning,Tampa,United States,31,4265600,,Maria Okonkwo,Office Manager,info@tampaevent.com,(325) 289-7007,,chamber_export
Coyle Commercial Ltd,www.coylecommercial.com,Commercial Janitorial,Kansas City,United States,31 employees,,,Raymond Coyle,Owner,,,linkedin.com/company/coylecommercial,directory_q3
Manchester Precision Company Co.,www.manchesterprecision.com,Precision Machining,Manchester,United Kingdom,7-17,$2.5M,1984,Miguel Ngo,Office Manager,miguel@manchesterprecision.com,+15723964161,,trade_assoc
Vasquez Plumbing,http://vasquezplumbing.com,Plumbing,Tucson,United States,38,"$6,483,408",2017,Thomas Vasquez,Office Manager,thomas.vasquez@gmail.com,,linkedin.com/company/vasquezplumbing,chamber_export
Indianapolis Staffing Works Co.,https://www.indianapolisstaffing.com,Staffing & Recruiting,Indianapolis,United States,7-17,1.71 million,,Walter Bhatti,President,wbhatti@indianapolisstaffing.com,(536) 448-1381,linkedin.com/company/indianapolisstaffing,chamber_export
Toussaint & Bhatti,http://toussaintbhatti.com,Pest Control,Cleveland,United States,80-90,"17,294,185",1991,Maria Toussaint,General Manager,contact@toussaintbhatti,,linkedin.com/company/toussaintbhatti,chamber_export
Delgado Waste Inc.,https://www.delgadowaste.com,Waste Management,Denver,United States,1-9,,2021,Sharon Delgado,,sharon@delgadowaste.com,(204) 524-4171,linkedin.com/company/delgadowaste,directory_q3
Ivers & Bhatti Ltd,iversbhatti.com,Electrical Contracting,Indianapolis,United States,18,"$3,886,326",,Ruth Whitfield,Operations Manager,info@iversbhatti.com,+17417179047,linkedin.com/company/iversbhatti,directory_q3
Blue Ridge Real Inc.,http://blueridge.com,Real Estate Brokerage,Charlotte,United States,115-125,19779480,,Carol Ivers,General Manager,civers@blueridge.com,,,directory_q3
Ngo & Renner,https://www.ngorenner.com,Dental Practice,Columbus,United States,26-36,3.21 million,2004,Raymond Ngo,Owner,raymond.ngo@gmail.com,(575) 746-3082,,trade_assoc
Raleigh HVAC Systems Co.,http://raleighhvac.com,HVAC,Raleigh,United States,13-23,4.26 million,,Donna Bhatti,Office Manager,contact@raleighhvac,,linkedin.com/company/raleighhvac,trade_assoc
Riverside Event Inc.,https://www.riversideevent.com,Event Planning,Tucson,United States,,33745330,2017,Raymond Muldoon,Operations Manager,raymond@riversideevent.com,+12879796396,,directory_q3
Tucson Roofing & Sons Ltd,www.tucsonroofing.com,Roofing,Tucson,United States,26,$5.5M,1972,Linda Pruitt,VP Operations,info@tucsonroofing.com,+18631329348,linkedin.com/company/tucsonroofing,chamber_export
Muldoon Auto Inc,http://muldoonauto.com,Auto Repair,Indianapolis,United States,8 employees,$1.6M,,Maria Muldoon,General Manager,info@muldoonauto.com,+19492577394,,trade_assoc
Castellanos & Bhatti LLC,http://castellanosbhatti.com,Staffing & Recruiting,Dallas,United States,8 employees,"1,708,144",1972,James Toussaint,Operations Manager,,+18340445105,,chamber_export
Halloran Accounting Co.,http://halloranaccounting.com,Accounting Services,Orlando,United States,,,2013,David Nakamura,Managing Director,dnakamura@halloranaccounting.com,+19500918339,,trade_assoc
Kansas City Veterinary Systems,http://kansascity.com,Veterinary Services,Kansas City,United States,8 employees,1084376,1984,Dennis Castellanos,Operations Manager,info@kansascity.com,(767) 679-2105,,directory_q3
Ironwood Staffing Co.,ironwoodstaffing.com,Staffing & Recruiting,Houston,United States,1-9,0.91 million,2017,,,ctoussaint@ironwoodstaffing.com,,linkedin.com/company/ironwoodstaffing,directory_q3
Ferraro & Halloran Ltd,www.ferrarohalloran.com,Software Consulting,Houston,United States,120 employees,$18.6M,1984,,General Manager,info@ferrarohalloran.com,+15257172953,,chamber_export
Nakamura & Pruitt Co.,www.nakamurapruitt.com,Dental Practice,Austin,United States,190 employees,$26.8M,2004,,Operations Manager,rnakamura@nakamurapruitt.com,+14851529947,linkedin.com/company/nakamurapruitt,trade_assoc
Cardinal Digital Inc.,http://cardinaldigital.com,Digital Marketing Agency,Nashville,United States,,4.42 million,2009,Robert Castellanos,Managing Director,rcastellanos@cardinaldigital.com,+14700908811,linkedin.com/company/cardinaldigital,chamber_export
Coyle Auto Inc.,http://coyleauto.com,Auto Repair,Phoenix,United States,60,"$10,834,920",1996,Ruth Coyle,Operations Manager,info@coyleauto.com,+18568177836,,trade_assoc
Dallas Event Partners Ltd,dallasevent.com,Event Planning,Dallas,United States,13-23,$2.0M,1984,Robert Nakamura,Managing Director,robert@dallasevent.com,(274) 701-1051,linkedin.com/company/dallasevent,chamber_export
Kansas City Event Contractors,http://kansascity.com,Event Planning,Kansas City,United States,31 employees,,2013,Patricia Okonkwo,Founder,patricia.okonkwo@gmail.com,(393) 362-1092,linkedin.com/company/kansascity,directory_q3
Summit Metal,,Metal Fabrication,Cleveland,United States,,"6,058,845",,,President,,(306) 725-7820,linkedin.com/company/summitmetal,chamber_export
Austin Roofing Services,https://www.austinroofing.com,Roofing,Austin,United States,38 employees,7.07 million,2009,Sharon Stanek,Operations Manager,sstanek@austinroofing.com,(840) 321-4175,linkedin.com/company/austinroofing,chamber_export
Bhatti & Pruitt LLC,bhattipruitt.com,Digital Marketing Agency,Tucson,United States,3-13,1.28 million,,,Office Manager,tashworth@bhattipruitt.com,+19830615128,linkedin.com/company/bhattipruitt,directory_q3
Barrett & Kellerman,barrettkellerman.com,Real Estate Brokerage,Kansas City,United States,18 employees,1771434,2013,Miguel Barrett,Founder,miguel.barrett@gmail.com,+15861804995,linkedin.com/company/barrettkellerman,chamber_export
Ironwood Waste,ironwoodwaste.com,Waste Management,Cleveland,United States,60 employees,6476940,2013,Frank Toussaint,Owner,info@ironwoodwaste.com,(468) 235-7460,,directory_q3
Nakamura Dental Inc.,https://www.nakamuradental.com,Dental Practice,Raleigh,United States,55-65,5.59 million,1991,Gloria Muldoon,VP Operations,info@nakamuradental.com,(716) 761-9274,linkedin.com/company/nakamuradental,directory_q3
Nashville Software Systems Ltd,https://www.nashvillesoftware.com,Software Consulting,Nashville,United States,7-17,1170096,1984,,General Manager,info@nashvillesoftware.com,,,chamber_export
Charlotte Waste Contractors Inc,charlottewaste.com,Waste Management,Charlotte,United States,45,"6,177,915",2017,Nancy Vasquez,Founder,info@charlottewaste.com,+13878126654,,directory_q3
Pruitt & Nakamura Ltd,pruittnakamura.com,Plumbing,Orlando,United States,45 employees,4.13 million,,Walter Pruitt,Owner,wpruitt@pruittnakamura.com,+15308455925,,chamber_export
Ironwood Pest Co.,www.ironwoodpest.com,Pest Control,Portland,United States,38,6.45 million,1991,Miguel Muldoon,Founder,info@ironwoodpest.com,(863) 214-5019,,trade_assoc
Austin Plumbing Services,https://www.austinplumbing.com,Plumbing,Austin,United States,4 employees,,2004,Kevin Whitfield,Managing Director,kevin@austinplumbing.com,,,trade_assoc
Phoenix Electrical Services Inc.,phoenixelectrical.com,Electrical Contracting,Phoenix,United States,8 employees,$1.4M,,Carol Coyle,Managing Director,info@phoenixelectrical.com,,,trade_assoc
Sacramento Staffing Solutions LLC,http://sacramentostaffing.com,Staffing & Recruiting,Sacramento,United States,21-31,$3.4M,2017,,Operations Manager,info@sacramentostaffing.com,,,chamber_export
Stanek & Ferraro Ltd,www.stanekferraro.com,Roofing,Dallas,United States,115-125,25407000,2013,Raymond Stanek,Office Manager,,+16875034644,,trade_assoc
Marchetti Staffing Co.,marchettistaffing.com,Staffing & Recruiting,Sacramento,United States,18 employees,,1972,David Marchetti,VP Operations,info@marchettistaffing.com,,linkedin.com/company/marchettistaffing,trade_assoc
IVERS ROOFING,https://www.iversroofing.com,Roofing,Tampa,United States,,2520100,2017,,President,,+18400115699,,chamber_export
Manchester Event Works,https://www.manchesterevent.com,Event Planning,Manchester,United Kingdom,120 employees,"27,325,320",,Nancy Bhatti,Owner,info@manchesterevent.com,(624) 369-4946,linkedin.com/company/manchesterevent,trade_assoc
Portland Plumbing Partners Inc,www.portlandplumbing.com,Plumbing,Portland,United States,120,13.30 million,1972,Raymond Pruitt,Founder,info@portlandplumbing.com,(948) 409-1344,linkedin.com/company/portlandplumbing,directory_q3
Sacramento Electrical Systems LLC,www.sacramentoelectrical.com,Electrical Contracting,Sacramento,United States,33-43,8.54 million,2009,Maria Ivers,General Manager,maria.ivers@gmail.com,+16822472487,linkedin.com/company/sacramentoelectrical,directory_q3
Whitfield & Kellerman LLC,www.whitfieldkellerman.com,Landscaping,Sacramento,United States,1-9,"$717,928",2017,Hector Whitfield,Founder,hector@whitfieldkellerman.com,(887) 444-5590,,directory_q3
Ivers Third,www.iversthird.com,Third Party Logistics,Denver,United States,45 employees,$5.4M,,James Ivers,Founder,james.ivers@gmail.com,(678) 940-3660,,chamber_export
Bhatti & Ivers Ltd,http://bhattiivers.com,Veterinary Services,Tampa,United States,1-9,0.78 million,2004,Frank Stanek,Managing Director,info@bhattiivers.com,,,trade_assoc
Barrett & Marchetti Inc.,http://barrettmarchetti.com,Real Estate Brokerage,Austin,United States,18 employees,"2,008,494",,,VP Operations,info@barrettmarchetti.com,(283) 348-4680,,directory_q3
Cardinal Event LLC,www.cardinalevent.com,Event Planning,Houston,United States,40-50,"$10,203,615",2004,Maria Muldoon,Founder,mmuldoon@cardinalevent.com,(599) 867-9882,linkedin.com/company/cardinalevent,trade_assoc
Granite Pest,https://www.granitepest.com,Pest Control,Tucson,United States,31 employees,3.49 million,,Linda Coyle,General Manager,info@granitepest.com,(951) 351-3763,,trade_assoc
Stanek & Muldoon LLC,stanekmuldoon.com,Pest Control,Manchester,United Kingdom,4,"$583,148",1991,Ruth Coyle,VP Operations,rcoyle@stanekmuldoon.com,+13072253164,,trade_assoc
Indianapolis Auto & Sons,www.indianapolisauto.com,Auto Repair,Indianapolis,United States,3-13,1459856,1984,Anne Kellerman,President,anne@indianapolisauto.com,+17298011620,linkedin.com/company/indianapolisauto,chamber_export
Coyle Precision Ltd,coyleprecision.com,Precision Machining,Tucson,United States,3-13,"1,193,024",,,Founder,contact@coyleprecision,(959) 469-9952,linkedin.com/company/coyleprecision,directory_q3
Renner & Vasquez Ltd,www.rennervasquez.com,Roofing,Houston,United States,26 employees,"5,231,616",2001,Robert Ferraro,Owner,,,linkedin.com/company/rennervasquez,directory_q3
Castellanos & Ashworth Inc.,https://www.castellanosashworth.com,Precision Machining,Columbus,United States,85,20333785,2009,James Castellanos,President,james.castellanos@gmail.com,(974) 453-9772,,directory_q3
Ferraro & Toussaint Inc.,www.ferrarotoussaint.com,Roofing,Phoenix,United States,45 employees,$10.3M,1991,James Ferraro,Operations Manager,jferraro@ferrarotoussaint.com,,,directory_q3
Kellerman Precision Co.,www.kellermanprecision.com,Precision Machining,Dallas,United States,8 employees,$1.6M,1984,Hector Kellerman,President,info@kellermanprecision.com,(704) 949-7514,linkedin.com/company/kellermanprecision,chamber_export
Orlando Accounting Contractors,www.orlandoaccounting.com,Accounting Services,Orlando,United States,,,2013,Kevin Pruitt,VP Operations,info@orlandoaccounting.com,(674) 405-7534,linkedin.com/company/orlandoaccounting,chamber_export
Orlando Dental Solutions,https://www.orlandodental.com,Dental Practice,Orlando,United States,85,,1984,Walter Castellanos,General Manager,wcastellanos@orlandodental.com,,,trade_assoc
Blue Ridge Digital LLC,http://blueridge.com,Digital Marketing Agency,Raleigh,United States,8,880112,2013,Maria Toussaint,Founder,maria.toussaint@gmail.com,+17892645829,,chamber_export
Bhatti & Pruitt Inc.,https://www.bhattipruitt.com,Auto Repair,Phoenix,United States,40-50,"$7,037,955",1991,,Operations Manager,abhatti@bhattipruitt.com,(364) 210-6450,,chamber_export
